OBJECTID,RowNumber,Incident_Type,Date_Occurred,Date_Received,File_Number,Investigation_Status,Disposition,Citizen_Arrested,UseOfForce_Reason,Citizen_Injured,Officer_Injured,Cit_Infl_Assmt,Report_Type,Sex,Race,Citizen_Age,Year,Force_Used
1,1,Use of force,2018/01/04 05:00:00+00,2018/01/04 05:00:00+00,IA2018-0071,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Female,White,26-35,2018,Physical Force
2,2,Use of force,2018/01/04 05:00:00+00,2018/01/04 05:00:00+00,IA2018-0071,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Female,White,26-35,2018,Physical Force
3,3,Use of force,2018/01/07 05:00:00+00,2018/01/07 05:00:00+00,IA2018-0059,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,White,26-35,2018,Physical Force
4,4,Use of force,2018/01/07 05:00:00+00,2018/01/07 05:00:00+00,IA2018-0059,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,White,26-35,2018,Physical Force
5,5,Use of force,2018/01/08 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0112,Completed,Exonerated,Yes,Combative,Yes,Yes,Mentally unstable,Complainant,Male,Black,36-45,2018,Physical Force
6,6,Use of force,2018/01/08 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0112,Completed,Exonerated,Yes,Combative,Yes,Yes,Mentally unstable,Complainant,Male,Black,36-45,2018,Taser
7,7,Use of force,2018/01/09 05:00:00+00,2018/01/09 05:00:00+00,IA2018-0187,Completed,Exonerated,Yes,Combative,No,No,Unknown,Complainant,Male,Black,18-25,2018,Taser
8,8,Use of force,2018/01/11 05:00:00+00,2018/01/11 05:00:00+00,IA2018-0125,Completed,Exonerated,Yes,Self Harming Behavior,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
9,9,Use of force,2018/01/11 05:00:00+00,2018/01/11 05:00:00+00,IA2018-0125,Completed,Exonerated,Yes,Self Harming Behavior,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
10,10,Use of force,2018/01/15 05:00:00+00,2018/01/15 05:00:00+00,IA2018-0116,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,White,46-55,2018,Physical Force
11,11,Use of force,2018/01/14 05:00:00+00,2018/01/14 05:00:00+00,IA2018-0097,Completed,Exonerated,Yes,Non-Compliance,No,No,Mentally unstable,Complainant,Male,Black,46-55,2018,Taser
12,12,Use of force,2018/01/13 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0204,Completed,Exonerated,Yes,Combative,No,Yes,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
13,13,Use of force,2018/01/13 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0204,Completed,Exonerated,Yes,Combative,No,Yes,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
14,14,Use of force,2018/01/13 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0204,Completed,Exonerated,Yes,Combative,No,Yes,Alcohol,Complainant,Male,Black,36-45,2018,
15,15,Use of force,2018/01/13 05:00:00+00,2018/01/13 05:00:00+00,IA2018-0204,Completed,Exonerated,Yes,Combative,No,Yes,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
16,16,Use of force,2018/01/29 05:00:00+00,2018/01/29 05:00:00+00,IA2018-0126,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,36-45,2018,Taser
17,17,Use of force,2018/01/29 05:00:00+00,2018/01/30 05:00:00+00,IA2018-0117,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2018,Taser
18,18,Use of force,2018/01/29 05:00:00+00,2018/01/30 05:00:00+00,IA2018-0117,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2018,Physical Force
19,19,Use of force,2018/01/26 05:00:00+00,2018/01/27 05:00:00+00,IA2018-0108,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,White,18-25,2018,Taser
20,20,Use of force,2018/01/25 05:00:00+00,2018/01/25 05:00:00+00,IA2018-0127,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Female,White,18-25,2018,Physical Force
21,21,Use of force,2018/01/25 05:00:00+00,2018/01/25 05:00:00+00,IA2018-0127,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Female,White,18-25,2018,Physical Force
22,22,Use of force,2018/01/25 05:00:00+00,2018/01/25 05:00:00+00,IA2018-0127,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Female,White,18-25,2018,
23,23,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Taser
24,24,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
25,25,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
26,26,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
27,27,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
28,28,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
29,29,Use of force,2018/01/21 05:00:00+00,2018/02/01 05:00:00+00,IA2018-0195,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,18-25,2018,Physical Force
30,30,Use of force,2018/01/22 05:00:00+00,2018/02/05 05:00:00+00,IA2018-0107,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,0-17,2018,Taser
31,31,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Physical Force
32,32,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Physical Force
33,33,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Physical Force
34,34,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Physical Force
35,35,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Physical Force
36,36,Use of force,2018/01/31 05:00:00+00,2018/01/31 05:00:00+00,IA2018-0164,Completed,Exonerated,Yes,Non-Compliance,No,Yes,None detected,Complainant,Male,Black,26-35,2018,Taser
37,37,Use of force,2018/02/03 05:00:00+00,2018/02/03 05:00:00+00,IA2018-0193,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,0-17,2018,Physical Force
38,38,Use of force,2018/02/03 05:00:00+00,2018/02/03 05:00:00+00,IA2018-0193,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,0-17,2018,Physical Force
39,39,Use of force,2018/02/03 05:00:00+00,2018/02/03 05:00:00+00,IA2018-0193,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,0-17,2018,Physical Force
40,40,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Physical Force
41,41,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Taser
42,42,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Physical Force
43,43,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Taser
